SNR_dB,Trial,BER_BPSK,BER_QPSK,BER_16QAM,Best_Modulation
-4.0,1,0.1882,0.18551,0.27717,BPSK
-4.0,2,0.18743,0.18714,0.27511,BPSK
-4.0,3,0.18607,0.18609,0.27511,BPSK
-4.0,4,0.18655,0.1876,0.27601,BPSK
-4.0,5,0.18551,0.18638,0.27465,BPSK
-4.0,6,0.1856,0.18607,0.27813,BPSK
-4.0,7,0.18759,0.18638,0.27663,BPSK
-4.0,8,0.18777,0.18544,0.27591,BPSK
-4.0,9,0.18412,0.18701,0.27624,BPSK
-4.0,10,0.1852,0.18602,0.27854,BPSK
-3.5,1,0.17187,0.1708,0.26625,BPSK
-3.5,2,0.17097,0.17334,0.26599,BPSK
-3.5,3,0.17246,0.17308,0.26613,BPSK
-3.5,4,0.17159,0.17294,0.26602,BPSK
-3.5,5,0.17205,0.17216,0.26908,BPSK
-3.5,6,0.17388,0.17189,0.26576,BPSK
-3.5,7,0.1737,0.17275,0.26812,BPSK
-3.5,8,0.1726,0.17119,0.26712,BPSK
-3.5,9,0.17265,0.17291,0.2643,BPSK
-3.5,10,0.17279,0.17281,0.26685,BPSK
-3.0,1,0.15779,0.16124,0.25692,BPSK
-3.0,2,0.15889,0.15732,0.25397,BPSK
-3.0,3,0.15921,0.15985,0.25565,BPSK
-3.0,4,0.1583,0.15803,0.25511,BPSK
-3.0,5,0.15894,0.15924,0.25611,BPSK
-3.0,6,0.15984,0.15667,0.25579,BPSK
-3.0,7,0.15846,0.16018,0.25795,BPSK
-3.0,8,0.15658,0.15548,0.25614,BPSK
-3.0,9,0.15872,0.15845,0.25441,BPSK
-3.0,10,0.15723,0.15919,0.25552,BPSK
-2.5,1,0.14422,0.14489,0.24536,BPSK
-2.5,2,0.14515,0.14419,0.24384,BPSK
-2.5,3,0.1431,0.14495,0.24682,BPSK
-2.5,4,0.14574,0.14583,0.24668,BPSK
-2.5,5,0.14442,0.14294,0.24401,BPSK
-2.5,6,0.14608,0.14465,0.24415,BPSK
-2.5,7,0.14387,0.1455,0.24735,BPSK
-2.5,8,0.1434,0.14293,0.24432,BPSK
-2.5,9,0.14441,0.14369,0.24712,BPSK
-2.5,10,0.14582,0.14319,0.24399,BPSK
-2.0,1,0.12968,0.12902,0.23529,BPSK
-2.0,2,0.13294,0.12982,0.23736,BPSK
-2.0,3,0.13021,0.13148,0.23517,BPSK
-2.0,4,0.12859,0.12904,0.23527,BPSK
-2.0,5,0.13085,0.12951,0.23315,BPSK
-2.0,6,0.13066,0.13009,0.23611,BPSK
-2.0,7,0.1305,0.1293,0.23202,BPSK
-2.0,8,0.13068,0.12952,0.23597,BPSK
-2.0,9,0.13041,0.13109,0.23309,BPSK
-2.0,10,0.12928,0.13197,0.23281,BPSK
-1.5,1,0.11712,0.1185,0.22253,BPSK
-1.5,2,0.11665,0.11696,0.22337,BPSK
-1.5,3,0.11719,0.11762,0.22126,BPSK
-1.5,4,0.11787,0.11577,0.22153,BPSK
-1.5,5,0.11622,0.11709,0.22385,BPSK
-1.5,6,0.11735,0.11673,0.22586,BPSK
-1.5,7,0.11697,0.11731,0.22375,BPSK
-1.5,8,0.11674,0.11778,0.22581,BPSK
-1.5,9,0.1172,0.11718,0.22224,BPSK
-1.5,10,0.1173,0.1178,0.22166,BPSK
-1.0,1,0.10459,0.10401,0.20805,BPSK
-1.0,2,0.10514,0.10281,0.21051,BPSK
-1.0,3,0.10238,0.10455,0.21409,BPSK
-1.0,4,0.10311,0.10395,0.20996,BPSK
-1.0,5,0.10288,0.10288,0.21037,BPSK
-1.0,6,0.10503,0.1044,0.20917,BPSK
-1.0,7,0.10275,0.10369,0.21174,BPSK
-1.0,8,0.10334,0.10215,0.21217,BPSK
-1.0,9,0.10438,0.10374,0.20953,BPSK
